"sdate","id","sname","trs_qty","trs_count","trs_amt","open_price","h_price","l_price","close_price","s_status","dec_price","lb_price","lb_amt","ls_price","ls_amt","PE"
"20230502","1783",和康生,4725632,3050,305437242,64.20,65.70,63.50,64.50,<p style= color:red>+</p>,2.80,64.40,31.00,64.50,16.00,39.09
"20230503","1783",和康生,2147858,1611,137641602,64.50,65.50,63.00,63.00,<p style= color:green>-</p>,1.50,63.00,11.00,63.20,39.00,38.18
"20230504","1783",和康生,5557955,3465,374562080,64.00,69.30,63.70,69.30,<p style= color:red>+</p>,6.30,69.30,10236.00,0.00,0.00,35.91
"20230505","1783",和康生,14822430,8336,1056025000,74.90,75.00,69.10,71.50,<p style= color:red>+</p>,2.20,71.40,2.00,71.50,48.00,37.05
"20230508","1783",和康生,5384811,3579,385845669,72.80,73.20,69.70,70.50,<p style= color:green>-</p>,1.00,70.50,23.00,70.60,10.00,36.53
"20230509","1783",和康生,3162516,2965,217352286,71.40,71.40,67.20,67.40,<p style= color:green>-</p>,3.10,67.30,49.00,67.40,48.00,34.92
"20230510","1783",和康生,2208948,1583,147945705,67.40,67.90,66.20,67.10,<p style= color:green>-</p>,0.30,67.00,5.00,67.10,3.00,34.77
"20230511","1783",和康生,2849224,2163,182768811,67.00,67.00,62.50,63.60,<p style= color:green>-</p>,3.50,63.40,22.00,63.60,4.00,32.95
"20230512","1783",和康生,1295488,1005,81628822,63.70,63.80,62.20,62.90,<p style= color:green>-</p>,0.70,62.90,5.00,63.00,3.00,32.59
"20230515","1783",和康生,1399144,1099,85234133,62.70,62.70,59.20,60.90,<p style= color:green>-</p>,2.00,60.90,12.00,61.20,3.00,31.55
"20230516","1783",和康生,880103,682,53831582,62.00,62.20,60.50,60.90,<p> </p>,0.00,60.90,7.00,61.00,1.00,31.55
"20230517","1783",和康生,1403986,1069,86696586,61.70,62.80,61.10,61.20,<p style= color:red>+</p>,0.30,61.20,19.00,61.40,1.00,31.71
"20230518","1783",和康生,1077555,786,66056747,62.00,62.30,60.30,61.20,<p> </p>,0.00,61.10,4.00,61.20,6.00,31.71
"20230406","1783",和康生,1255918,1506,71035846,55.70,57.10,55.70,56.50,<p style= color:red>+</p>,0.80,56.50,4.00,56.60,10.00,34.24
"20230407","1783",和康生,466102,653,26267996,56.90,56.90,56.00,56.50,<p> </p>,0.00,56.40,4.00,56.50,4.00,34.24
"20230410","1783",和康生,767099,810,43585069,57.50,57.50,56.30,56.30,<p style= color:green>-</p>,0.20,56.30,22.00,56.50,15.00,34.12
"20230411","1783",和康生,645761,726,36215154,56.40,56.60,55.50,55.60,<p style= color:green>-</p>,0.70,55.60,13.00,55.70,14.00,33.70
"20230412","1783",和康生,972940,927,55244184,55.90,57.40,55.40,56.90,<p style= color:red>+</p>,1.30,56.80,23.00,56.90,6.00,34.48
"20230413","1783",和康生,837943,921,47728127,57.30,57.70,56.00,56.60,<p style= color:green>-</p>,0.30,56.60,5.00,56.70,16.00,34.30
"20230414","1783",和康生,709522,874,40401036,57.00,57.60,56.30,56.50,<p style= color:green>-</p>,0.10,56.50,2.00,56.60,3.00,34.24
"20230417","1783",和康生,2112969,1920,123600659,56.50,59.50,56.50,59.10,<p style= color:red>+</p>,2.60,59.00,19.00,59.10,29.00,35.82
