"sdate","id","f_qty","i_qty","s_qty","t_qty","est_f_qty","est_i_qty","est_s_qty","est_t_qty","trs_f_percent","trs_3_percent"
"1120512","1783",-366,0,4,-362,10725,1902,594,13221,12.66,15.61
"1120511","1783",36,0,-182,-146,11064,1902,590,13556,13.06,16.00
"1120510","1783",-430,0,-6,-436,11001,1902,772,13675,12.98,16.14
"1120509","1783",41,0,41,82,11427,1902,777,14106,13.49,16.65
"1120508","1783",579,0,-23,556,11360,1902,736,13998,13.41,16.52
"1120505","1783",921,0,26,947,10735,1902,759,13396,12.67,15.81
"1120504","1783",-204,0,2,-202,9801,1902,733,12436,11.57,14.68
"1120503","1783",-30,0,2,-28,10012,1902,731,12645,11.82,14.93
"1120502","1783",692,0,25,717,10033,1902,729,12664,11.84,14.95
"1120428","1783",395,0,157,552,9319,1902,704,11925,11.00,14.08
"1120427","1783",-5,0,0,-5,8945,1902,547,11394,10.56,13.45
"1120426","1783",101,0,13,114,8962,1902,547,11411,10.58,13.47
"1120425","1783",-149,0,-39,-188,8854,1902,534,11290,10.45,13.33
"1120424","1783",701,0,-67,634,9023,1902,573,11498,10.65,13.57
"1120421","1783",141,0,-30,111,8302,1902,640,10844,9.80,12.80
"1120420","1783",-596,100,-77,-573,8148,1902,670,10720,9.61,12.65
"1120419","1783",259,400,-98,561,8742,1802,747,11291,10.32,13.33
"1120418","1783",-93,0,91,-2,8481,1402,845,10728,10.01,12.66
"1120417","1783",-2,0,29,27,8559,1402,754,10715,10.10,12.65
"1120414","1783",-75,0,-1,-76,8561,1402,725,10688,10.10,12.61
"1120413","1783",32,0,0,32,8636,1402,726,10764,10.19,12.70
"1120412","1783",107,0,9,116,8612,1402,726,10740,10.16,12.67
"1120411","1783",-193,0,14,-179,8505,1402,717,10624,10.04,12.54
"1120410","1783",-31,0,19,-12,8698,1402,703,10803,10.26,12.75
"1120407","1783",-169,0,65,-104,8742,1402,684,10828,10.32,12.78
"1120406","1783",277,0,10,287,8923,1402,619,10944,10.53,12.92
"1120331","1783",-18,0,7,-11,8649,1402,609,10660,10.21,12.58
"1120330","1783",-141,0,-9,-150,8706,1400,602,10708,10.27,12.63
"1120329","1783",169,0,-21,148,8813,1400,611,10824,10.40,12.77
"1120328","1783",27,0,52,79,8645,1400,632,10677,10.20,12.60
"1120327","1783",208,0,20,228,8891,1400,580,10871,10.49,12.83
"1120324","1783",-90,0,46,-44,8688,1400,560,10648,10.25,12.56
"1120323","1783",-272,200,4,-68,8875,1400,514,10789,10.47,12.73
"1120322","1783",-14,0,20,6,9154,1200,510,10864,10.80,12.82
"1120321","1783",-158,-300,-1,-459,9202,1200,490,10892,10.86,12.86
"1120320","1783",343,-313,-1,29,9383,1500,491,11374,11.07,13.42
"1120317","1783",36,-237,-17,-218,9027,1813,492,11332,10.65,13.37
"1120316","1783",634,0,-36,598,9106,2050,509,11665,10.75,13.77
"1120315","1783",164,0,7,171,8505,2050,545,11100,10.04,13.10
"1120314","1783",-342,0,-6,-348,8336,2050,538,10924,9.84,12.90
"1120313","1783",603,0,-41,562,8647,2050,544,11241,10.20,13.26
"1120310","1783",807,0,-56,751,8044,2050,585,10679,9.49,12.60
