"sdate","id","id_sub","id_mr","mrname","b_qty","s_qty","dec_qty","dstatus","trs_percent"
"20230518","1783","0035003300380043","5380",第一金-光復,55,0,55,1,5.10
"20230518","1783","1470","1470",台灣摩根士丹利,0,56,56,-1,5.19
"20230518","1783","8150","8150",台新證券,48,8,40,1,3.71
"20230518","1783","9268","9200",凱基-台北,113,167,54,-1,5.01
"20230518","1783","0031003000340041","1040",臺銀-臺中,20,0,20,1,1.86
"20230518","1783","9623","9600",富邦-台北,5,50,45,-1,4.17
"20230518","1783","003900410039004d","9A00",永豐金-南投,23,5,18,1,1.67
"20230518","1783","1480","1480",美商高盛,12,44,32,-1,2.97
"20230518","1783","9233","9200",凱基-長庚,16,0,16,1,1.48
"20230518","1783","0039004100390067","9A00",永豐金-內湖,0,32,32,-1,2.97
"20230518","1783","0039003800390044","9800",元大-左營,16,0,16,1,1.48
"20230518","1783","1650","1650",新加坡商瑞銀,33,64,31,-1,2.88
"20230518","1783","8711","8710",陽信-石牌,15,0,15,1,1.39
"20230518","1783","1440","1440",美林,4,29,25,-1,2.32
"20230518","1783","9322","9300",華南永昌-公誠,16,1,15,1,1.39
"20230518","1783","003900380039004e","9800",元大-內湖,3,27,24,-1,2.23
"20230518","1783","003900410039005a","9A00",永豐金-復興,15,0,15,1,1.39
"20230518","1783","9800","9800",元大證券,15,38,23,-1,2.13
"20230518","1783","6464","6460",大昌-新店,18,4,14,1,1.30
"20230518","1783","8440","8440",摩根大通,12,24,12,-1,1.11
"20230518","1783","0038003400350052","8450",康和-石牌,14,0,14,1,1.30
"20230518","1783","1560","1560",港商野村,12,23,11,-1,1.02
"20230518","1783","9200","9200",凱基,13,0,13,1,1.21
"20230518","1783","0039003100380045","9100",群益金鼎-南京,0,11,11,-1,1.02
"20230518","1783","9871","9800",元大-忠孝,13,0,13,1,1.21
"20230518","1783","0039003800300064","9800",元大-沙鹿,1,12,11,-1,1.02
"20230518","1783","5382","5380",第一金-台中,11,0,11,1,1.02
"20230518","1783","9302","9300",華南永昌-台中,1,11,10,-1,0.93
"20230518","1783","9303","9300",華南永昌-高雄,12,1,11,1,1.02
"20230518","1783","0037003700390076","7790",國票-台中,0,10,10,-1,0.93
"20230517","1783","9800","9800",元大證券,46,3,43,1,3.06
"20230517","1783","1650","1650",新加坡商瑞銀,60,230,170,-1,12.11
"20230517","1783","8150","8150",台新證券,39,1,38,1,2.71
"20230517","1783","1480","1480",美商高盛,2,156,154,-1,10.97
"20230517","1783","9614","9600",富邦-基隆,30,0,30,1,2.14
"20230517","1783","1470","1470",台灣摩根士丹利,0,127,127,-1,9.05
"20230517","1783","0039003600320047","9600",富邦-斗六,28,0,28,1,1.99
"20230517","1783","8440","8440",摩根大通,1,108,107,-1,7.62
"20230517","1783","1040","1040",臺銀,20,0,20,1,1.42
"20230517","1783","1560","1560",港商野村,0,39,39,-1,2.78
"20230517","1783","0035003900320045","5920",元富-城中,20,0,20,1,1.42
"20230517","1783","9268","9200",凱基-台北,104,126,22,-1,1.57
"20230517","1783","9233","9200",凱基-長庚,21,5,16,1,1.14
"20230517","1783","9312","9300",華南永昌-民權,0,20,20,-1,1.42
"20230517","1783","8888","8880",國泰-敦南,27,13,14,1,1.00
"20230517","1783","6164","6160",中國信託-文心,1,20,19,-1,1.35
"20230517","1783","0035003800350063","5850",統一-仁愛,14,0,14,1,1.00
"20230517","1783","0037003000300058","7000",兆豐-永和,0,11,11,-1,0.78
"20230517","1783","9254","9200",凱基-科園,22,10,12,1,0.85
"20230517","1783","9189","9100",群益金鼎-桃園,2,10,8,-1,0.57
"20230517","1783","9215","9200",凱基-高美館,11,0,11,1,0.78
"20230517","1783","0039004100390036","9A00",永豐金-博愛,4,12,8,-1,0.57
"20230517","1783","0037003700390063","7790",國票-敦北法人,10,0,10,1,0.71
"20230517","1783","1440","1440",美林,35,40,5,-1,0.36
"20230517","1783","003700370039007a","7790",國票-博愛,10,0,10,1,0.71
"20230517","1783","6110","6110",台中銀,0,5,5,-1,0.36
"20230517","1783","8159","8150",台新-台南,13,3,10,1,0.71
"20230517","1783","0037003000300044","7000",兆豐-西螺,0,5,5,-1,0.36
"20230517","1783","9275","9200",凱基-三多,10,0,10,1,0.71
"20230517","1783","8151","8150",台新-建北,0,4,4,-1,0.28
"20230519","1783","8560","8560",新光,94,7,87,1,5.50
"20230519","1783","1470","1470",台灣摩根士丹利,3,158,155,-1,9.79
"20230519","1783","0031003000340041","1040",臺銀-臺中,69,0,69,1,4.36
"20230519","1783","9268","9200",凱基-台北,42,195,153,-1,9.67
"20230519","1783","0038003400350045","8450",康和-澎湖,39,0,39,1,2.46
"20230519","1783","1650","1650",新加坡商瑞銀,28,177,149,-1,9.41
"20230519","1783","003900360031004a","9600",富邦-興業,30,0,30,1,1.90
"20230519","1783","1480","1480",美商高盛,3,146,143,-1,9.03
"20230519","1783","8150","8150",台新證券,35,9,26,1,1.64
"20230519","1783","1440","1440",美林,12,112,100,-1,6.32
"20230519","1783","0031003200360069","1260",宏遠-光隆,25,0,25,1,1.58
"20230519","1783","8440","8440",摩根大通,12,111,99,-1,6.25
"20230519","1783","9614","9600",富邦-基隆,26,2,24,1,1.52
"20230519","1783","0035003300380044","5380",第一金-忠孝,1,57,56,-1,3.54
"20230519","1783","9872","9800",元大-復北,31,10,21,1,1.33
"20230519","1783","003900380039004e","9800",元大-內湖,2,51,49,-1,3.10
"20230519","1783","003900410039005a","9A00",永豐金-復興,18,0,18,1,1.14
"20230519","1783","1111","1110",台灣企銀-台中,0,30,30,-1,1.90
"20230519","1783","9215","9200",凱基-高美館,22,6,16,1,1.01
"20230519","1783","0038003400350052","8450",康和-石牌,0,27,27,-1,1.71
"20230519","1783","0039003800310067","9800",元大-大里,17,1,16,1,1.01
"20230519","1783","1560","1560",港商野村,1,15,14,-1,0.88
"20230519","1783","0037003000300067","7000",兆豐-南門,15,0,15,1,0.95
"20230519","1783","0039004100390031","9A00",永豐金-松山,2,15,13,-1,0.82
"20230519","1783","0039003600310050","9600",富邦-和美,15,0,15,1,0.95
"20230519","1783","9303","9300",華南永昌-高雄,2,12,10,-1,0.63
"20230519","1783","1116","1110",台灣企銀-屏東,14,0,14,1,0.88
"20230519","1783","0039003800310046","9800",元大-福營,2,12,10,-1,0.63
"20230519","1783","0039004100390042","9A00",永豐金-中和,14,0,14,1,0.88
"20230519","1783","8881","8880",國泰-高雄,0,10,10,-1,0.63
"20230516","1783","8450","8450",康和,45,0,45,1,5.11
"20230516","1783","1470","1470",台灣摩根士丹利,0,124,124,-1,14.09
"20230516","1783","8560","8560",新光,45,11,34,1,3.86
"20230516","1783","1650","1650",新加坡商瑞銀,37,145,108,-1,12.27
"20230516","1783","1045","1040",臺銀-新竹,34,0,34,1,3.86
"20230516","1783","1480","1480",美商高盛,8,68,60,-1,6.82
"20230516","1783","9268","9200",凱基-台北,114,93,21,1,2.39
"20230516","1783","8440","8440",摩根大通,0,14,14,-1,1.59
"20230516","1783","9857","9800",元大-東蘆,32,12,20,1,2.27
"20230516","1783","9661","9600",富邦-新店,1,15,14,-1,1.59
"20230516","1783","5387","5380",第一金-澎湖,19,1,18,1,2.05
"20230516","1783","9868","9800",元大-文心,0,14,14,-1,1.59
"20230516","1783","1028","1020",合庫-彰化,16,0,16,1,1.82
"20230516","1783","9302","9300",華南永昌-台中,0,13,13,-1,1.48
"20230516","1783","003800380038004b","8880",國泰-板橋,12,0,12,1,1.36
"20230516","1783","9363","9300",華南永昌-彰化,0,12,12,-1,1.36
"20230516","1783","1440","1440",美林,20,8,12,1,1.36
"20230516","1783","7009","7000",兆豐-景美,2,12,10,-1,1.14
"20230516","1783","0039003100380057","9100",群益金鼎-忠孝,11,0,11,1,1.25
"20230516","1783","0037003700390058","7790",國票-中和,0,10,10,-1,1.14
"20230516","1783","9889","9800",元大-員林,10,0,10,1,1.14
"20230516","1783","7007","7000",兆豐-竹北,2,11,9,-1,1.02
"20230516","1783","0035003800350041","5850",統一-基隆,10,0,10,1,1.14
"20230516","1783","003900410039004c","9A00",永豐金-台中,0,8,8,-1,0.91
"20230516","1783","9327","9300",華南永昌-斗六,10,0,10,1,1.14
"20230516","1783","1041","1040",臺銀-鳳山,0,6,6,-1,0.68
"20230516","1783","9614","9600",富邦-基隆,10,0,10,1,1.14
"20230516","1783","5920","5920",元富,1,7,6,-1,0.68
"20230516","1783","9604","9600",富邦-陽明,8,0,8,1,0.91
"20230516","1783","9324","9300",華南永昌-岡山,0,6,6,-1,0.68
"20230515","1783","1650","1650",新加坡商瑞銀,160,99,61,1,4.36
"20230515","1783","1470","1470",台灣摩根士丹利,0,73,73,-1,5.22
"20230515","1783","8560","8560",新光,67,10,57,1,4.07
"20230515","1783","5850","5850",統一,9,69,60,-1,4.29
"20230515","1783","1480","1480",美商高盛,87,47,40,1,2.86
"20230515","1783","0035003800350055","5850",統一-南京,0,30,30,-1,2.14
"20230515","1783","1233","1230",彰銀-台中,30,0,30,1,2.14
"20230515","1783","0035003900320045","5920",元富-城中,0,30,30,-1,2.14
"20230515","1783","9614","9600",富邦-基隆,25,0,25,1,1.79
"20230515","1783","5380","5380",第一金,0,21,21,-1,1.50
"20230515","1783","5852","5850",統一-敦南,24,0,24,1,1.72
"20230515","1783","9307","9300",華南永昌-大安,17,37,20,-1,1.43
"20230515","1783","0035003800350041","5850",統一-基隆,20,0,20,1,1.43
"20230515","1783","9884","9800",元大-斗信,1,20,19,-1,1.36
"20230515","1783","9857","9800",元大-東蘆,20,2,18,1,1.29
"20230515","1783","1560","1560",港商野村,22,38,16,-1,1.14
"20230515","1783","003900410039004a","9A00",永豐金-板新,15,2,13,1,0.93
"20230515","1783","9202","9200",凱基-中港,0,15,15,-1,1.07
"20230515","1783","8888","8880",國泰-敦南,17,5,12,1,0.86
"20230515","1783","0035003900320050","5920",元富-同大,0,14,14,-1,1.00
"20230515","1783","9891","9800",元大-永和,12,0,12,1,0.86
