sdate,id,mt_b_qty,mt_s_qty,mt_r_qty,mt_qty,mt_dec_qty,mt_limit_qty,mt_use_percent,ss_b_qty,ss_s_qty,ss_r_qty,ss_qty,ss_dec_qty,ms_percent,ms_dec_qty
20230512,1783,111,95,0,3168,16,19102,16.58,5,13,0,53,-8,1.67,2
20230511,1783,220,366,1,3152,-147,19102,16.5,19,41,0,61,-22,1.94,17
20230510,1783,310,247,0,3299,63,19102,17.27,1,19,0,83,-18,2.52,15
20230509,1783,210,418,0,3236,-208,19102,16.94,16,46,1,101,-31,3.12,2
20230508,1783,628,405,0,3444,223,19102,18.03,7,29,0,132,-22,3.83,1
20230505,1783,841,768,0,3221,73,19102,16.86,33,13,0,154,20,4.78,17
20230504,1783,543,527,0,3148,16,19102,16.48,107,5,0,134,102,4.26,5
20230503,1783,185,242,0,3132,-57,19102,16.4,4,5,0,32,-1,1.02,13
20230502,1783,634,676,0,3189,-42,19102,16.69,17,1,0,33,16,1.03,4
20230428,1783,233,320,0,3231,-87,19102,16.91,6,1,0,17,5,0.53,3
20230427,1783,82,75,0,3318,7,19102,17.37,0,1,0,12,-1,0.36,2
20230426,1783,79,145,0,3311,-66,19102,17.33,0,4,0,13,-4,0.39,0
20230425,1783,243,311,0,3377,-68,19102,17.68,3,12,0,17,-9,0.5,5
20230424,1783,258,452,0,3445,-194,19102,18.03,19,2,0,26,17,0.75,14
20230421,1783,304,467,15,3639,-178,19102,19.05,0,18,0,9,-18,0.25,11
20230420,1783,1205,1020,0,3817,185,19102,19.98,18,10,0,27,8,0.71,126
20230419,1783,992,593,5,3632,394,19102,19.01,19,0,0,19,19,0.52,113
20230418,1783,174,256,0,3238,-82,19102,16.95,0,0,0,0,0,0.0,0
20230417,1783,774,258,0,3320,516,19102,17.38,0,0,0,0,0,0.0,0
20230414,1783,78,52,0,2804,26,19102,14.68,0,0,1,0,-1,0.0,0
20230413,1783,45,136,0,2778,-91,19102,14.54,0,93,2,1,-95,0.04,0
20230412,1783,131,117,0,2869,14,19102,15.02,0,24,0,96,-24,3.35,0
20230411,1783,169,81,0,2855,88,19102,14.95,0,22,0,120,-22,4.2,0
20230410,1783,91,288,0,2767,-197,19102,14.49,0,5,0,142,-5,5.13,2
20230407,1783,105,58,0,2964,47,19102,15.52,0,1,0,147,-1,4.96,2
20230406,1783,95,332,0,2917,-237,19102,15.27,1,2,0,148,-1,5.07,1
20230331,1783,84,59,0,3154,25,19102,16.51,1,2,0,149,-1,4.72,0
20230330,1783,58,41,10,3129,7,19102,16.38,2,1,0,150,1,4.79,0
20230329,1783,83,90,3,3122,-10,19102,16.34,1,0,0,149,1,4.77,0
20230328,1783,69,68,0,3132,1,19102,16.4,8,1,0,148,7,4.73,0
20230327,1783,30,119,0,3131,-89,19102,16.39,0,0,2,141,-2,4.5,0
20230324,1783,135,113,1,3220,21,19102,16.86,0,8,0,143,-8,4.44,1
20230323,1783,246,282,0,3199,-36,19102,16.75,3,6,0,151,-3,4.72,19
20230322,1783,79,193,1,3235,-115,19102,16.94,0,6,0,154,-6,4.76,0
20230321,1783,230,59,0,3350,171,19102,17.54,0,2,0,160,-2,4.78,0
20230320,1783,45,254,0,3179,-209,19102,16.64,0,9,0,162,-9,5.1,0
20230317,1783,69,32,3,3388,34,19102,17.74,0,3,0,171,-3,5.05,1
20230316,1783,85,649,29,3354,-593,19102,17.56,12,11,0,174,1,5.19,1
20230315,1783,117,193,0,3947,-76,19102,20.66,1,1,0,173,0,4.38,6
20230314,1783,108,106,20,4023,-18,19102,21.06,1,9,0,173,-8,4.3,40
20230313,1783,80,451,0,4041,-371,19102,21.15,2,12,0,181,-10,4.48,2
20230310,1783,116,550,0,4412,-434,19102,23.1,18,7,0,191,11,4.33,35
20230309,1783,110,227,0,4846,-117,19102,25.37,2,2,0,180,0,3.71,6
20230308,1783,148,262,0,4963,-114,19102,25.98,4,9,0,180,-5,3.63,1
20230307,1783,278,188,12,5077,78,19102,26.58,3,20,0,185,-17,3.64,0
20230306,1783,671,1010,4,4999,-343,19102,26.17,12,47,0,202,-35,4.04,7
20230303,1783,1140,386,0,5342,754,19102,27.97,15,7,0,237,8,4.44,35
20230302,1783,484,468,0,4588,16,19102,24.02,10,5,0,229,5,4.99,2
20230301,1783,505,465,20,4572,20,19102,23.93,13,3,0,224,10,4.9,8
20230224,1783,328,654,0,4552,-326,19102,23.83,4,31,0,214,-27,4.7,0
20230223,1783,652,490,0,4878,162,19102,25.54,0,21,0,241,-21,4.94,7
20230222,1783,990,641,0,4716,349,19102,24.69,48,4,0,262,44,5.56,70
20230221,1783,318,642,0,4367,-324,19102,22.86,13,38,0,218,-25,4.99,23
20230220,1783,1239,747,0,4691,492,19102,24.56,49,6,0,243,43,5.18,14
20230217,1783,261,274,0,4199,-13,19102,21.98,9,5,0,200,4,4.76,42
20230216,1783,207,176,0,4212,32,19102,22.05,0,7,0,196,-3,4.65,8
20230215,1783,353,154,0,4180,197,19102,21.88,2,6,0,199,-8,4.76,2
20230214,1783,598,385,0,3983,213,19102,20.85,11,5,0,207,6,5.2,30
20230213,1783,343,121,5,3770,217,19102,19.74,5,16,0,201,-11,5.33,3
20230210,1783,319,266,0,3553,53,19102,18.6,13,21,0,212,-8,5.97,6
20230209,1783,528,333,0,3500,195,19102,18.32,10,71,0,220,-61,6.29,9
20230208,1783,750,692,0,3305,58,19102,17.3,11,78,1,281,-68,8.5,10
20230207,1783,887,1487,0,3247,-600,19102,17.0,81,43,4,349,34,10.75,35
20230206,1783,1872,744,0,3847,1128,19102,20.14,126,30,0,315,96,8.19,88
20230203,1783,50,236,0,2719,-186,19102,14.23,46,0,0,219,46,8.05,0
20230202,1783,260,410,0,2905,-150,19102,15.21,8,7,0,173,1,5.96,4
20230201,1783,196,342,0,3055,-146,19102,15.99,4,13,0,172,-9,5.63,1
20230131,1783,639,323,0,3201,316,19102,16.76,71,3,0,181,68,5.65,3
20230130,1783,105,142,0,2885,-37,19102,15.1,1,41,0,113,-40,3.92,4
20230117,1783,177,116,1,2922,60,19102,15.3,0,76,0,153,-76,5.24,1
20230116,1783,325,336,0,2862,-11,19102,14.98,16,24,0,229,-8,8.0,1
20230113,1783,595,486,0,2873,109,19102,15.04,167,4,0,237,163,8.25,8
20230112,1783,44,73,0,2764,-29,19102,14.47,18,8,0,74,10,2.68,0
20230111,1783,93,109,3,2793,-19,19102,14.62,23,15,0,64,8,2.29,2
20230110,1783,95,153,0,2812,-58,19102,14.72,2,27,0,56,-25,1.99,2
20230109,1783,179,192,1,2870,-14,19102,15.02,34,4,0,81,30,2.82,21
20230106,1783,263,172,0,2884,91,19102,15.1,4,11,0,51,-7,1.77,3
20230105,1783,150,229,0,2793,-79,19102,14.62,18,13,0,58,5,2.08,0
20230104,1783,156,129,1,2872,26,19102,15.04,1,7,0,53,-6,1.85,0
20230103,1783,143,257,0,2846,-114,19102,14.9,21,29,0,59,-8,2.07,0
20221230,1783,141,79,0,2960,62,19102,15.5,12,18,1,67,-7,2.26,6
20221229,1783,213,322,0,2898,-109,19102,15.17,0,70,0,74,-70,2.55,0
20221228,1783,409,316,0,3007,93,19102,15.74,60,40,0,144,20,4.79,6
20221227,1783,388,701,0,2914,-313,19102,15.25,70,29,0,124,41,4.26,5
20221226,1783,1661,540,0,3227,1121,19102,16.89,20,23,0,83,-3,2.57,27
20221223,1783,603,255,0,2106,348,19102,11.03,28,12,7,86,9,4.08,11
20221222,1783,243,158,10,1758,75,19102,9.2,30,10,0,77,20,4.38,2
20221221,1783,142,223,0,1683,-81,19102,8.81,33,0,0,57,33,3.39,4
20221220,1783,123,153,0,1764,-30,17366,10.16,3,5,0,24,-2,1.36,0
20221219,1783,275,87,0,1794,188,17366,10.33,3,2,39,26,-38,1.45,0
20221216,1783,156,173,0,1606,-17,17366,9.25,2,5,138,64,-141,3.99,1
20221215,1783,34,72,0,1623,-38,17366,9.35,0,12,0,205,-12,12.63,0
20221214,1783,94,116,0,1661,-22,17366,9.56,187,19,0,217,168,13.06,0
20221213,1783,191,279,31,1683,-119,17366,9.69,23,1,0,49,22,2.91,2
20221212,1783,205,79,10,1802,116,17366,10.38,4,0,0,27,4,1.5,0
20221209,1783,16,63,0,1686,-47,17366,9.71,4,4,0,23,0,1.36,0
20221208,1783,51,36,0,1733,15,17366,9.98,5,2,0,23,3,1.33,0
20221207,1783,60,85,0,1718,-25,17366,9.89,0,1,0,20,-1,1.16,2
20221206,1783,178,146,0,1743,32,17366,10.04,5,1,0,21,4,1.2,3
20221205,1783,71,29,0,1711,42,17366,9.85,1,0,0,17,1,0.99,0
20221202,1783,13,11,10,1669,-8,17366,9.61,0,0,0,16,0,0.96,0
20221201,1783,31,23,0,1677,8,17366,9.66,0,0,0,16,0,0.95,1
20221130,1783,13,23,0,1669,-10,17366,9.61,0,0,0,16,0,0.96,0
20221129,1783,31,8,0,1679,23,17366,9.67,0,0,0,16,0,0.95,0
20221128,1783,51,43,0,1656,8,17366,9.54,3,0,0,16,3,0.97,0
20221125,1783,12,15,0,1648,-3,17366,9.49,1,0,0,13,1,0.79,1
20221124,1783,23,15,0,1651,8,17366,9.51,0,1,0,12,-1,0.73,0
20221123,1783,11,17,0,1643,-6,17366,9.46,1,0,0,13,1,0.79,0
20221122,1783,28,16,0,1649,12,17366,9.5,0,0,0,12,0,0.73,1
20221121,1783,27,69,0,1637,-42,17366,9.43,3,0,0,12,3,0.73,0
20221118,1783,11,46,0,1679,-35,17366,9.67,2,0,0,9,2,0.54,0
20221117,1783,64,54,0,1714,10,17366,9.87,1,0,0,7,1,0.41,0
20221116,1783,31,19,0,1704,12,17366,9.81,0,2,0,6,-2,0.35,0
20221115,1783,9,22,0,1692,-13,17366,9.74,0,0,0,8,0,0.47,0
20221114,1783,46,67,0,1705,-21,17366,9.82,5,0,0,8,5,0.47,4
20221111,1783,69,61,0,1726,8,17366,9.94,3,0,0,3,3,0.17,0
20221110,1783,36,66,0,1718,-30,17366,9.89,0,0,0,0,0,0.0,0
20221109,1783,10,21,0,1748,-11,17366,10.07,0,0,0,0,0,0.0,0
20221108,1783,19,21,0,1759,-2,17366,10.13,0,0,0,0,0,0.0,0
20221107,1783,19,28,2,1761,-11,17366,10.14,0,18,2,0,-20,0.0,0
20221104,1783,31,24,0,1772,7,17366,10.2,2,1,0,20,1,1.13,0
20221103,1783,16,58,0,1765,-42,17366,10.16,4,6,0,19,-2,1.08,0
20221102,1783,9,37,0,1807,-28,17366,10.41,1,0,0,21,1,1.16,0
20221101,1783,28,44,0,1835,-16,17366,10.57,3,0,0,20,3,1.09,0
20221031,1783,6,12,1,1851,-7,17366,10.66,0,1,0,17,-1,0.92,0
20221028,1783,24,27,0,1858,-3,17366,10.7,0,2,0,18,-2,0.97,0
20221027,1783,35,31,0,1861,4,17366,10.72,0,0,0,20,0,1.07,0
20221026,1783,43,26,0,1857,17,17366,10.69,2,0,0,20,2,1.08,0
20221025,1783,2,5,0,1840,-3,17366,10.6,0,8,0,18,-8,0.98,0
20221024,1783,3,8,0,1843,-5,17366,10.61,2,0,0,26,2,1.41,0
20221021,1783,10,1,0,1848,9,17366,10.64,0,0,0,24,0,1.3,0
20221020,1783,11,28,0,1839,-17,17366,10.59,0,0,0,24,0,1.31,0
20221019,1783,13,9,0,1856,4,17366,10.69,0,1,0,24,-1,1.29,0
20221018,1783,3,7,0,1852,-4,17366,10.66,0,0,0,25,0,1.35,0
20221017,1783,12,58,12,1856,-58,17366,10.69,1,3,0,25,-2,1.35,0
20221014,1783,28,111,0,1914,-83,17366,11.02,0,2,0,27,-2,1.41,0
20221013,1783,45,103,7,1997,-65,17366,11.5,3,1,0,29,2,1.45,1
20221012,1783,14,46,4,2062,-36,17366,11.87,4,2,0,27,2,1.31,0
20221011,1783,27,76,0,2098,-49,17366,12.08,6,20,0,25,-14,1.19,2
20221007,1783,36,6,0,2147,30,17366,12.36,0,0,0,39,0,1.82,0
20221006,1783,15,19,15,2117,-19,17366,12.19,0,0,0,39,0,1.84,0
20221005,1783,14,44,0,2136,-30,17366,12.3,0,2,0,39,-2,1.83,0
20221004,1783,11,9,0,2166,2,17366,12.47,1,2,0,41,-1,1.89,0
20221003,1783,14,20,0,2164,-6,17366,12.46,2,6,0,42,-4,1.94,0
20220930,1783,6,3,0,2170,3,17366,12.5,8,4,0,46,4,2.12,1
20220929,1783,33,99,0,2167,-66,17366,12.48,5,1,0,42,4,1.94,2
20220928,1783,115,375,12,2233,-272,17366,12.86,3,8,0,38,-5,1.7,1
20220927,1783,32,15,0,2505,17,17366,14.42,3,2,0,43,1,1.72,0
20220926,1783,97,93,0,2488,4,17366,14.33,6,6,0,42,0,1.69,6
20220923,1783,92,103,1,2484,-12,17366,14.3,7,8,0,42,-1,1.69,2
20220922,1783,58,90,0,2496,-32,17366,14.37,6,7,0,43,-1,1.72,2
20220921,1783,41,57,0,2528,-16,17366,14.56,0,12,0,44,-12,1.74,1
20220920,1783,20,33,0,2544,-13,17366,14.65,1,2,0,56,-1,2.2,0
20220919,1783,68,64,0,2557,4,17366,14.72,0,20,0,57,-20,2.23,6
20220916,1783,93,154,0,2553,-61,17366,14.7,0,13,0,77,-13,3.02,0
20220915,1783,109,107,0,2614,2,17366,15.05,0,2,0,90,-2,3.44,0
20220914,1783,263,172,0,2612,91,17366,15.04,8,1,0,92,7,3.52,4
20220913,1783,92,170,0,2521,-78,17366,14.52,9,0,0,85,9,3.37,5
20220912,1783,340,156,0,2599,184,17366,14.97,17,19,0,76,-2,2.92,10
20220908,1783,76,143,0,2415,-67,17366,13.91,35,10,0,78,25,3.23,2
20220907,1783,185,87,0,2482,98,17366,14.29,8,3,0,53,5,2.14,1
20220906,1783,248,391,0,2384,-143,17366,13.73,5,46,0,48,-41,2.01,4
20220905,1783,576,303,0,2527,273,17366,14.55,15,5,0,89,10,3.52,11
20220902,1783,456,507,0,2254,-51,17366,12.98,18,1,0,79,17,3.5,13
20220901,1783,332,315,0,2305,17,17366,13.27,2,11,0,62,-9,2.69,4
20220831,1783,571,147,0,2288,424,17366,13.18,37,0,0,71,37,3.1,2
20220830,1783,7,43,0,1864,-36,17366,10.73,3,0,0,34,3,1.82,0
20220829,1783,36,22,0,1900,14,17366,10.94,0,2,0,31,-2,1.63,0
20220826,1783,56,26,0,1886,30,17366,10.86,0,8,0,33,-8,1.75,0
20220825,1783,30,48,0,1856,-18,17366,10.69,0,1,0,41,-1,2.21,0
20220824,1783,44,68,0,1874,-24,17366,10.79,2,5,0,42,-3,2.24,0
20220823,1783,33,32,0,1898,1,17366,10.93,5,0,0,45,5,2.37,1
20220822,1783,92,75,0,1897,17,17366,10.92,0,0,0,40,0,2.11,1
20220819,1783,54,112,0,1880,-58,17366,10.83,0,0,0,40,0,2.13,0
20220818,1783,92,61,0,1938,31,17366,11.16,0,5,0,40,-5,2.06,3
20220817,1783,43,95,0,1907,-52,17366,10.98,11,0,0,45,11,2.36,0
20220816,1783,38,53,0,1959,-15,17366,11.28,11,2,0,34,9,1.74,0
20220815,1783,40,40,0,1974,0,17366,11.37,0,5,0,25,-5,1.27,0
20220812,1783,8,75,0,1974,-67,17366,11.37,0,0,0,30,0,1.52,0
20220811,1783,61,33,0,2041,28,17366,11.75,0,0,0,30,0,1.47,0
20220810,1783,11,41,0,2013,-30,17366,11.59,0,5,0,30,-5,1.49,0
20220809,1783,17,21,0,2043,-4,17366,11.76,0,0,0,35,0,1.71,0
