"sdate","id","RSV9","K9","D9","K3D2","D3K2"
"20200113","1783",18.75,39.58,46.53,25.69,60.42
"20200114","1783",12.50,30.55,41.20,9.25,62.51
"20200115","1783",13.33,24.81,35.74,2.96,57.59
"20200116","1783",11.11,20.24,30.57,-0.42,51.24
"20200117","1783",5.88,15.45,25.53,-4.70,45.69
"20200120","1783",9.52,13.47,21.51,-2.60,37.59
"20200130","1783",4.35,10.43,17.82,-4.35,32.59
"20200131","1783",28.26,16.37,17.34,14.45,19.27
"20200203","1783",12.77,15.17,16.62,12.27,19.51
"20200204","1783",25.00,18.45,17.23,20.88,14.79
"20200205","1783",50.00,28.97,21.14,44.62,5.49
"20200206","1783",61.11,39.68,27.32,64.41,2.60
"20200207","1783",50.00,43.12,32.59,64.19,11.52
"20200210","1783",17.65,34.63,33.27,37.35,30.55
"20200211","1783",20.59,29.95,32.16,25.52,36.59
"20200212","1783",31.03,30.31,31.54,27.85,34.01
"20200213","1783",10.34,23.65,28.91,13.14,39.43
"20200214","1783",19.23,22.18,26.67,13.20,35.64
"20200217","1783",30.77,25.04,26.13,22.87,28.30
"20200218","1783",26.92,25.67,25.98,25.05,26.59
"20200219","1783",58.82,36.72,29.56,51.04,15.24
"20200220","1783",66.67,46.70,35.27,69.56,12.42
"20200221","1783",73.33,55.58,42.04,82.65,14.96
"20200224","1783",82.35,64.50,49.53,94.46,19.58
"20200225","1783",52.94,60.65,53.24,75.47,38.41
"20200226","1783",31.25,50.85,52.44,47.66,55.63
"20200227","1783",5.56,35.75,46.88,13.50,69.13
"20200302","1783",10.00,27.17,40.31,0.88,66.59
"20200303","1783",16.67,23.67,34.76,1.48,56.95
"20200304","1783",6.67,18.00,29.17,-4.34,51.52
"20200305","1783",20.00,18.67,25.67,4.66,39.67
"20200306","1783",56.67,31.34,27.56,38.89,20.00
"20200309","1783",37.84,33.51,29.54,41.43,21.61
"20200310","1783",16.22,27.75,28.94,25.35,31.33
"20200311","1783",2.70,19.40,25.76,6.68,38.48
"20200312","1783",1.25,13.35,21.62,-3.20,38.17
"20200313","1783",0.00,8.90,17.38,-8.06,34.34
"20200316","1783",0.00,5.93,13.56,-9.33,28.83
"20200317","1783",0.00,3.95,10.36,-8.86,23.17
"20200318","1783",0.00,2.63,7.78,-7.67,18.09
