"sdate","id","DI","EMA12","EMA26","MACD","DIF","OSC"
"20200116","1783",24.15,22.41,17.97,0.00,0.00,0.00
"20200117","1783",24.09,22.67,18.42,0.00,0.00,0.00
"20200120","1783",23.94,22.86,18.83,0.00,0.00,0.00
"20200130","1783",23.01,22.89,19.14,0.00,0.00,0.00
"20200131","1783",23.04,22.91,19.43,0.00,0.00,0.00
"20200203","1783",22.78,22.89,19.68,0.00,0.00,0.00
"20200204","1783",22.95,22.90,19.92,0.00,0.00,0.00
"20200205","1783",23.43,22.98,20.18,0.00,0.00,0.00
"20200206","1783",23.66,23.08,20.44,0.00,0.00,0.00
"20200207","1783",23.36,23.13,20.65,0.00,0.00,0.00
"20200210","1783",22.94,23.10,20.82,0.00,0.00,0.00
"20200211","1783",22.88,23.06,20.97,0.00,0.00,0.00
"20200212","1783",22.95,23.05,21.12,0.00,0.00,0.00
"20200213","1783",22.73,23.00,21.24,0.00,0.00,0.00
"20200214","1783",22.85,22.97,22.83,0.00,0.15,0.00
"20200217","1783",23.06,22.99,22.84,0.00,0.14,0.00
"20200218","1783",22.95,22.98,22.85,0.00,0.13,0.00
"20200219","1783",23.14,23.01,22.87,0.00,0.13,0.00
"20200220","1783",23.16,23.03,22.89,0.00,0.14,0.00
"20200221","1783",23.14,23.05,22.91,0.00,0.13,0.00
"20200224","1783",23.36,23.10,22.95,0.00,0.15,0.00
"20200225","1783",23.13,23.10,22.96,0.00,0.14,0.00
"20200226","1783",22.99,23.08,22.96,182.15,0.12,-182.02
"20200227","1783",22.76,23.03,22.95,145.73,0.09,-145.65
"20200302","1783",22.19,22.90,22.89,116.59,0.01,-116.58
"20200303","1783",22.31,22.81,22.85,93.26,-0.04,-93.30
"20200304","1783",22.16,22.71,22.80,74.59,-0.08,-74.68
"20200305","1783",22.33,22.65,22.76,59.65,-0.11,-59.76
"20200306","1783",22.74,22.67,22.76,47.70,-0.09,-47.80
"20200309","1783",22.86,22.70,22.77,38.15,-0.07,-38.22
"20200310","1783",22.29,22.63,22.73,30.50,-0.10,-30.60
"20200311","1783",22.16,22.56,22.69,24.37,-0.13,-24.50
"20200312","1783",20.41,22.23,22.52,19.44,-0.29,-19.73
"20200313","1783",17.96,21.57,22.18,15.43,-0.61,-16.04
"20200316","1783",17.50,20.95,21.84,12.17,-0.89,-13.06
"20200317","1783",15.63,20.13,21.38,9.48,-1.25,-10.73
"20200318","1783",14.55,19.27,20.87,7.27,-1.60,-8.87
"20200319","1783",12.95,18.30,20.28,5.42,-1.99,-7.40
"20200320","1783",13.24,17.52,19.76,3.88,-2.24,-6.13
"20200323","1783",12.99,16.82,19.26,2.62,-2.44,-5.06
"20200324","1783",13.45,16.30,18.83,1.59,-2.53,-4.12
"20200325","1783",14.49,16.02,18.51,0.78,-2.48,-3.26
"20200326","1783",15.23,15.90,18.27,0.15,-2.36,-2.51
"20200327","1783",15.66,15.86,18.07,-0.32,-2.21,-1.88
"20200330","1783",15.93,15.87,17.91,-0.67,-2.04,-1.37
"20200331","1783",16.21,15.93,17.79,-0.91,-1.86,-0.96
"20200401","1783",16.28,15.98,17.68,-1.06,-1.70,-0.63
"20200406","1783",16.95,16.13,17.62,-1.15,-1.49,-0.34
"20200407","1783",17.56,16.35,17.62,-1.17,-1.27,-0.09
"20200408","1783",18.53,16.68,17.68,-1.14,-1.00,0.14
"20200409","1783",18.68,16.99,17.76,-1.06,-0.77,0.30
"20200410","1783",19.46,17.37,17.88,-0.95,-0.51,0.44
"20200413","1783",19.91,17.76,18.03,-0.82,-0.27,0.55
"20200414","1783",21.43,18.33,18.29,-0.65,0.04,0.69
"20200415","1783",21.69,18.84,18.54,-0.46,0.31,0.76
"20200416","1783",21.74,19.29,18.77,-0.26,0.51,0.78
"20200417","1783",21.78,19.67,19.00,-0.07,0.67,0.75
"20200420","1783",22.99,20.18,19.29,0.12,0.89,0.77
"20200421","1783",22.15,20.48,19.50,0.29,0.98,0.69
"20200422","1783",21.43,20.63,19.65,0.43,0.98,0.55
"20200423","1783",22.08,20.85,19.83,0.55,1.02,0.48
"20200424","1783",23.13,21.20,20.07,0.66,1.13,0.47
"20200427","1783",24.53,21.71,20.40,0.79,1.31,0.52
"20200428","1783",24.73,22.18,20.72,0.93,1.45,0.53
"20200429","1783",25.86,22.74,21.10,1.07,1.64,0.57
"20200430","1783",27.95,23.54,21.61,1.24,1.94,0.69
"20200504","1783",28.88,24.36,22.15,1.44,2.22,0.78
"20200505","1783",28.73,25.04,22.63,1.63,2.40,0.77
"20200506","1783",28.31,25.54,23.06,1.80,2.48,0.68
"20200507","1783",27.63,25.86,23.39,1.93,2.47,0.53
"20200508","1783",26.11,25.90,23.59,2.01,2.30,0.30
"20200511","1783",25.60,25.85,23.74,2.03,2.11,0.08
"20200512","1783",25.51,25.80,23.87,2.01,1.93,-0.08
"20200513","1783",26.30,25.88,24.05,1.97,1.82,-0.15
"20200514","1783",25.53,25.82,24.16,1.91,1.66,-0.25
"20200515","1783",25.09,25.71,24.23,1.82,1.48,-0.34
"20200518","1783",26.89,25.89,24.43,1.75,1.46,-0.29
"20200519","1783",27.90,26.20,24.69,1.70,1.51,-0.19
"20200520","1783",27.40,26.38,24.89,1.66,1.50,-0.16
"20200521","1783",26.75,26.44,25.02,1.61,1.42,-0.20
"20200522","1783",27.03,26.53,25.17,1.56,1.36,-0.20
"20200525","1783",28.39,26.82,25.41,1.53,1.41,-0.13
"20200526","1783",27.70,26.95,25.58,1.50,1.37,-0.13
"20200527","1783",26.55,26.89,25.65,1.45,1.24,-0.21
"20200528","1783",25.93,26.74,25.67,1.37,1.07,-0.30
"20200529","1783",26.09,26.64,25.70,1.28,0.94,-0.35
"20200601","1783",26.08,26.55,25.73,1.19,0.82,-0.37
"20200602","1783",25.85,26.45,25.74,1.10,0.71,-0.39
"20200603","1783",26.16,26.40,25.77,1.00,0.63,-0.37
"20200604","1783",28.65,26.75,25.98,0.95,0.76,-0.19
"20200605","1783",29.70,27.20,26.26,0.95,0.94,-0.01
"20200608","1783",28.16,27.35,26.40,0.95,0.95,0.00
"20200609","1783",28.13,27.47,26.53,0.95,0.94,-0.01
"20200610","1783",28.83,27.68,26.70,0.96,0.98,0.02
"20200611","1783",27.58,27.66,26.76,0.94,0.90,-0.05
"20200612","1783",27.26,27.60,26.80,0.92,0.80,-0.12
"20200615","1783",28.90,27.80,26.96,0.90,0.84,-0.06
"20200616","1783",29.31,28.03,27.13,0.90,0.90,0.00
"20200617","1783",31.26,28.53,27.44,0.94,1.09,0.15
"20200618","1783",34.43,29.44,27.95,1.05,1.48,0.43
"20200619","1783",32.25,29.87,28.27,1.16,1.60,0.44
"20200622","1783",31.24,30.08,28.49,1.24,1.59,0.34
"20200623","1783",30.96,30.22,28.67,1.30,1.54,0.24
"20200624","1783",29.79,30.15,28.76,1.32,1.39,0.07
"20200629","1783",30.00,30.13,28.85,1.31,1.28,-0.04
"20200630","1783",29.50,30.03,28.90,1.28,1.13,-0.14
"20200701","1783",29.68,29.98,28.96,1.23,1.02,-0.20
"20200702","1783",30.04,29.99,29.04,1.17,0.95,-0.22
"20200703","1783",29.74,29.95,29.09,1.11,0.86,-0.25
"20200706","1783",29.13,29.82,29.09,1.03,0.73,-0.30
"20200707","1783",28.34,29.59,29.03,0.94,0.56,-0.38
"20200708","1783",29.60,29.59,29.08,0.85,0.52,-0.34
"20200709","1783",30.29,29.70,29.17,0.79,0.53,-0.26
"20200710","1783",29.54,29.68,29.19,0.73,0.48,-0.25
"20200713","1783",28.84,29.55,29.17,0.66,0.38,-0.28
"20200714","1783",28.48,29.38,29.12,0.58,0.27,-0.31
"20200715","1783",27.95,29.16,29.03,0.49,0.13,-0.36
"20200716","1783",28.13,29.00,28.96,0.40,0.04,-0.36
"20200717","1783",26.99,28.69,28.82,0.30,-0.12,-0.42
"20200720","1783",26.84,28.41,28.67,0.18,-0.26,-0.45
"20200721","1783",27.35,28.24,28.57,0.08,-0.33,-0.41
"20200722","1783",27.68,28.16,28.51,0.00,-0.35,-0.34
"20200723","1783",27.50,28.06,28.43,-0.08,-0.38,-0.30
"20200724","1783",26.85,27.87,28.31,-0.15,-0.44,-0.29
"20200727","1783",25.81,27.55,28.13,-0.24,-0.58,-0.34
"20200728","1783",25.38,27.22,27.92,-0.33,-0.71,-0.38
